.........Data e Hora..........Chuva (mm)..........Nível (cm)........Vazão (m3/s)
01/11/2024 00:59:00				0										
01/11/2024 01:59:00				0										
01/11/2024 02:59:00				0										
01/11/2024 03:59:00				0										
01/11/2024 04:59:00				0										
01/11/2024 05:59:00				0										
01/11/2024 06:59:00				0										
01/11/2024 07:59:00				0										
01/11/2024 08:59:00				0										
01/11/2024 09:59:00				0										
01/11/2024 10:59:00				0										
01/11/2024 11:59:00				0										
01/11/2024 12:59:00				0										
01/11/2024 13:59:00				0										
01/11/2024 14:59:00				0										
01/11/2024 15:59:00				0										
01/11/2024 16:59:00				0										
01/11/2024 17:59:00				0										
01/11/2024 18:59:00				0										
01/11/2024 19:59:00				0										
01/11/2024 20:59:00				0										
01/11/2024 21:59:00				0										
01/11/2024 22:59:00				0										
01/11/2024 23:59:00				0										
02/11/2024 00:59:00				0										
02/11/2024 01:59:00				0										
02/11/2024 02:59:00				0										
02/11/2024 03:59:00				0										
02/11/2024 04:59:00				0										
02/11/2024 05:59:00				0										
02/11/2024 06:59:00				0										
02/11/2024 07:59:00				0										
02/11/2024 08:59:00				0										
02/11/2024 09:59:00				0										
02/11/2024 10:59:00				0										
02/11/2024 11:59:00				0										
02/11/2024 12:59:00				0										
02/11/2024 13:59:00				0										
02/11/2024 14:59:00				0										
02/11/2024 15:59:00				0										
02/11/2024 16:59:00				0										
02/11/2024 17:59:00				0										
02/11/2024 18:59:00				0										
02/11/2024 19:59:00				0										
02/11/2024 20:59:00				0										
02/11/2024 21:59:00				0										
02/11/2024 22:59:00				0										
02/11/2024 23:59:00				0										
03/11/2024 00:59:00				0										
03/11/2024 01:59:00				0										
03/11/2024 02:59:00				0										
03/11/2024 03:59:00				0										
03/11/2024 04:59:00				0										
03/11/2024 05:59:00				0										
03/11/2024 06:59:00				0										
03/11/2024 07:59:00				0										
03/11/2024 08:59:00				0										
03/11/2024 09:59:00				0										
03/11/2024 10:59:00				0										
03/11/2024 11:59:00				0										
